Date,Sto.Value,Che.Value
2021-03-30 20:16:00.300,1737.0,1581.0
2021-03-30 20:16:00.600,1744.0,1582.0
2021-03-30 20:16:00.900,1748.0,1584.0
2021-03-30 20:16:01.200,1753.0,1584.0
2021-03-30 20:16:01.500,1755.0,1584.0
2021-03-30 20:16:01.800,1750.0,1579.0
2021-03-30 20:16:02.100,1747.0,1576.0
2021-03-30 20:16:02.400,1751.0,1576.0
2021-03-30 20:16:02.700,1756.0,1581.0
2021-03-30 20:16:03.000,1758.0,1583.0
2021-03-30 20:16:03.300,1755.0,1583.0
2021-03-30 20:16:03.600,1754.0,1584.0
2021-03-30 20:16:03.900,1759.0,1586.0
2021-03-30 20:16:04.200,1757.0,1580.0
2021-03-30 20:16:04.500,1749.0,1573.0
2021-03-30 20:16:04.800,1744.0,1574.0
2021-03-30 20:16:05.100,1754.0,1581.0
2021-03-30 20:16:05.400,1761.0,1581.0
2021-03-30 20:16:05.700,1763.0,1581.0
2021-03-30 20:16:06.000,1763.0,1584.0
2021-03-30 20:16:06.300,1760.0,1579.0
2021-03-30 20:16:06.600,1762.0,1584.0
2021-03-30 20:16:06.900,1767.0,1582.0
2021-03-30 20:16:07.200,1769.0,1575.0
2021-03-30 20:16:07.500,1767.0,1575.0
2021-03-30 20:16:07.800,1762.0,1571.0
2021-03-30 20:16:08.100,1768.0,1530.0
2021-03-30 20:16:08.400,1776.0,1552.0
2021-03-30 20:16:08.700,1781.0,1559.0
2021-03-30 20:16:09.000,1785.0,1563.0
2021-03-30 20:16:09.300,1787.0,1560.0
2021-03-30 20:16:09.600,1788.0,1566.0
2021-03-30 20:16:09.900,1763.0,1558.0
2021-03-30 20:16:10.200,1768.0,1560.0
2021-03-30 20:16:10.500,1778.0,1565.0
2021-03-30 20:16:10.800,1782.0,1561.0
2021-03-30 20:16:11.100,1788.0,1571.0
2021-03-30 20:16:11.400,1791.0,1575.0
2021-03-30 20:16:11.700,1788.0,1575.0
2021-03-30 20:16:12.000,1793.0,1579.0
2021-03-30 20:16:12.300,1793.0,1575.0
2021-03-30 20:16:12.600,1769.0,1410.0
2021-03-30 20:16:12.900,1776.0,1446.0
2021-03-30 20:16:13.200,1782.0,1476.0
2021-03-30 20:16:13.500,1791.0,1502.0
2021-03-30 20:16:13.800,1796.0,1520.0
2021-03-30 20:16:14.100,1796.0,1529.0
2021-03-30 20:16:14.400,1715.0,1535.0
2021-03-30 20:16:14.700,1673.0,1538.0
2021-03-30 20:16:15.000,1665.0,1539.0
2021-03-30 20:16:15.300,1695.0,1544.0
2021-03-30 20:16:15.600,1727.0,1545.0
2021-03-30 20:16:15.900,1746.0,1549.0
2021-03-30 20:16:16.200,1754.0,1553.0
2021-03-30 20:16:16.500,1754.0,1554.0
2021-03-30 20:16:16.800,1695.0,1539.0
2021-03-30 20:16:17.100,1621.0,1556.0
2021-03-30 20:16:17.400,1624.0,1559.0
2021-03-30 20:16:17.700,1658.0,1561.0
2021-03-30 20:16:18.000,1718.0,1563.0
2021-03-30 20:16:18.300,1734.0,1563.0
2021-03-30 20:16:18.600,1744.0,1565.0
2021-03-30 20:16:18.900,1699.0,1561.0
2021-03-30 20:16:19.200,1723.0,1566.0
2021-03-30 20:16:19.500,1616.0,1554.0
2021-03-30 20:16:19.800,1651.0,1567.0
2021-03-30 20:16:20.100,1664.0,1567.0
2021-03-30 20:16:20.400,1697.0,1567.0
2021-03-30 20:16:20.700,1717.0,1567.0
2021-03-30 20:16:21.000,1733.0,1570.0
2021-03-30 20:16:21.300,1749.0,1571.0
2021-03-30 20:16:21.600,1746.0,1565.0
2021-03-30 20:16:21.900,1716.0,1573.0
2021-03-30 20:16:22.200,1665.0,1573.0
2021-03-30 20:16:22.500,1670.0,1572.0
2021-03-30 20:16:22.800,1686.0,1559.0
2021-03-30 20:16:23.100,1698.0,1570.0
2021-03-30 20:16:23.400,1728.0,1573.0
2021-03-30 20:16:23.700,1745.0,1573.0
2021-03-30 20:16:24.000,1749.0,1573.0
2021-03-30 20:16:24.300,1737.0,1575.0
2021-03-30 20:16:24.600,1688.0,1577.0
2021-03-30 20:16:24.900,1665.0,1569.0
2021-03-30 20:16:25.200,1568.0,1563.0
2021-03-30 20:16:25.500,1610.0,1572.0
2021-03-30 20:16:25.800,1663.0,1576.0
2021-03-30 20:16:26.100,1683.0,1576.0
2021-03-30 20:16:26.400,1706.0,1575.0
2021-03-30 20:16:26.700,1716.0,1580.0
2021-03-30 20:16:27.000,1704.0,1580.0
2021-03-30 20:16:27.300,1700.0,1584.0
2021-03-30 20:16:27.600,1592.0,1585.0
2021-03-30 20:16:27.900,1640.0,1585.0
2021-03-30 20:16:28.200,1652.0,1582.0
2021-03-30 20:16:28.500,1673.0,1582.0
2021-03-30 20:16:28.800,1701.0,1584.0
2021-03-30 20:16:29.100,1726.0,1586.0
2021-03-30 20:16:29.400,1744.0,1587.0
2021-03-30 20:16:29.700,1744.0,1579.0
2021-03-30 20:16:30.000,1713.0,1585.0
2021-03-30 20:16:30.300,1653.0,1586.0
2021-03-30 20:16:30.600,1594.0,1579.0
2021-03-30 20:16:30.900,1606.0,1565.0
2021-03-30 20:16:31.200,1638.0,1580.0
2021-03-30 20:16:31.500,1696.0,1584.0
2021-03-30 20:16:31.800,1714.0,1586.0
2021-03-30 20:16:32.100,1731.0,1585.0
2021-03-30 20:16:32.400,1733.0,1585.0
2021-03-30 20:16:32.700,1744.0,1588.0
2021-03-30 20:16:33.000,1691.0,1588.0
2021-03-30 20:16:33.300,1665.0,1590.0
2021-03-30 20:16:33.600,1586.0,1583.0
2021-03-30 20:16:33.900,1628.0,1588.0
2021-03-30 20:16:34.200,1653.0,1590.0
2021-03-30 20:16:34.500,1691.0,1590.0
2021-03-30 20:16:34.800,1718.0,1589.0
2021-03-30 20:16:35.100,1730.0,1590.0
2021-03-30 20:16:35.400,1744.0,1591.0
2021-03-30 20:16:35.700,1749.0,1592.0
2021-03-30 20:16:36.000,1724.0,1592.0
2021-03-30 20:16:36.300,1655.0,1589.0
2021-03-30 20:16:36.600,1636.0,1578.0
2021-03-30 20:16:36.900,1627.0,1589.0
2021-03-30 20:16:37.200,1613.0,1590.0
2021-03-30 20:16:37.500,1662.0,1590.0
2021-03-30 20:16:37.800,1687.0,1589.0
2021-03-30 20:16:38.100,1705.0,1590.0
2021-03-30 20:16:38.400,1731.0,1591.0
2021-03-30 20:16:38.700,1739.0,1591.0
2021-03-30 20:16:39.000,1744.0,1594.0
2021-03-30 20:16:39.300,1744.0,1594.0
2021-03-30 20:16:39.600,1744.0,1595.0
2021-03-30 20:16:39.900,1654.0,1595.0
2021-03-30 20:16:40.200,1629.0,1595.0
2021-03-30 20:16:40.500,1649.0,1595.0
2021-03-30 20:16:40.800,1660.0,1594.0
2021-03-30 20:16:41.100,1682.0,1591.0
2021-03-30 20:16:41.400,1717.0,1595.0
2021-03-30 20:16:41.700,1736.0,1595.0
2021-03-30 20:16:42.000,1747.0,1592.0
2021-03-30 20:16:42.300,1751.0,1591.0
2021-03-30 20:16:42.600,1760.0,1589.0
2021-03-30 20:16:42.900,1747.0,1590.0
2021-03-30 20:16:43.200,1699.0,1592.0
2021-03-30 20:16:43.500,1632.0,1594.0
2021-03-30 20:16:43.800,1553.0,1594.0
2021-03-30 20:16:44.100,1526.0,1594.0
2021-03-30 20:16:44.400,1559.0,1596.0
2021-03-30 20:16:44.700,1584.0,1597.0
2021-03-30 20:16:45.000,1638.0,1590.0
2021-03-30 20:16:45.300,1680.0,1592.0
2021-03-30 20:16:45.600,1702.0,1591.0
2021-03-30 20:16:45.900,1703.0,1596.0
2021-03-30 20:16:46.200,1621.0,1596.0
2021-03-30 20:16:46.500,1582.0,1590.0
2021-03-30 20:16:46.800,1572.0,1588.0
2021-03-30 20:16:47.100,1597.0,1584.0
2021-03-30 20:16:47.400,1616.0,1580.0
2021-03-30 20:16:47.700,1646.0,1584.0
2021-03-30 20:16:48.000,1677.0,1587.0
2021-03-30 20:16:48.300,1694.0,1591.0
2021-03-30 20:16:48.600,1703.0,1593.0
2021-03-30 20:16:48.900,1689.0,1592.0
2021-03-30 20:16:49.200,1643.0,1591.0
2021-03-30 20:16:49.500,1626.0,1587.0
2021-03-30 20:16:49.800,1632.0,1584.0
2021-03-30 20:16:50.100,1651.0,1584.0
2021-03-30 20:16:50.400,1670.0,1586.0
2021-03-30 20:16:50.700,1692.0,1588.0
2021-03-30 20:16:51.000,1708.0,1591.0
2021-03-30 20:16:51.300,1717.0,1593.0
2021-03-30 20:16:51.600,1722.0,1593.0
2021-03-30 20:16:51.900,1716.0,1584.0
2021-03-30 20:16:52.200,1690.0,1570.0
2021-03-30 20:16:52.500,1654.0,1559.0
2021-03-30 20:16:52.800,1661.0,1568.0
2021-03-30 20:16:53.100,1681.0,1571.0
2021-03-30 20:16:53.400,1691.0,1574.0
2021-03-30 20:16:53.700,1707.0,1577.0
2021-03-30 20:16:54.000,1721.0,1581.0
2021-03-30 20:16:54.300,1729.0,1582.0
2021-03-30 20:16:54.600,1733.0,1582.0
2021-03-30 20:16:54.900,1729.0,1582.0
2021-03-30 20:16:55.200,1715.0,1579.0
2021-03-30 20:16:55.500,1685.0,1577.0
2021-03-30 20:16:55.800,1675.0,1575.0
2021-03-30 20:16:56.100,1687.0,1578.0
2021-03-30 20:16:56.400,1704.0,1577.0
2021-03-30 20:16:56.700,1723.0,1569.0
2021-03-30 20:16:57.000,1732.0,1578.0
2021-03-30 20:16:57.300,1735.0,1576.0
2021-03-30 20:16:57.600,1742.0,1573.0
2021-03-30 20:16:57.900,1676.0,1580.0
2021-03-30 20:16:58.200,1681.0,1584.0
2021-03-30 20:16:58.500,1700.0,1584.0
2021-03-30 20:16:58.800,1709.0,1585.0
2021-03-30 20:16:59.100,1717.0,1581.0
2021-03-30 20:16:59.400,1720.0,1584.0
2021-03-30 20:16:59.700,1723.0,1587.0
2021-03-30 20:17:00.000,1735.0,1588.0
2021-03-30 20:17:00.300,1744.0,1590.0
2021-03-30 20:17:00.600,1744.0,1591.0
2021-03-30 20:17:00.900,1742.0,1594.0
2021-03-30 20:17:01.200,1724.0,1595.0
2021-03-30 20:17:01.500,1676.0,1596.0
2021-03-30 20:17:01.800,1673.0,1596.0
2021-03-30 20:17:02.100,1685.0,1595.0
2021-03-30 20:17:02.400,1698.0,1596.0
2021-03-30 20:17:02.700,1708.0,1597.0
2021-03-30 20:17:03.000,1720.0,1599.0
2021-03-30 20:17:03.300,1727.0,1600.0
2021-03-30 20:17:03.600,1731.0,1601.0
2021-03-30 20:17:03.900,1733.0,1602.0
2021-03-30 20:17:04.200,1732.0,1601.0
2021-03-30 20:17:04.500,1720.0,1602.0
2021-03-30 20:17:04.800,1693.0,1601.0
2021-03-30 20:17:05.100,1692.0,1601.0
2021-03-30 20:17:05.400,1704.0,1599.0
2021-03-30 20:17:05.700,1717.0,1601.0
2021-03-30 20:17:06.000,1725.0,1602.0
2021-03-30 20:17:06.300,1733.0,1603.0
2021-03-30 20:17:06.600,1738.0,1602.0
2021-03-30 20:17:06.900,1712.0,1603.0
2021-03-30 20:17:07.200,1648.0,1603.0
2021-03-30 20:17:07.500,1597.0,1603.0
2021-03-30 20:17:07.800,1558.0,1603.0
2021-03-30 20:17:08.100,1556.0,1603.0
2021-03-30 20:17:08.400,1576.0,1604.0
2021-03-30 20:17:08.700,1592.0,1605.0
2021-03-30 20:17:09.000,1611.0,1604.0
2021-03-30 20:17:09.300,1641.0,1604.0
2021-03-30 20:17:09.600,1665.0,1604.0
2021-03-30 20:17:09.900,1676.0,1604.0
2021-03-30 20:17:10.200,1681.0,1605.0
2021-03-30 20:17:10.500,1668.0,1605.0
2021-03-30 20:17:10.800,1652.0,1604.0
2021-03-30 20:17:11.100,1608.0,1602.0
2021-03-30 20:17:11.400,1609.0,1603.0
2021-03-30 20:17:11.700,1626.0,1603.0
2021-03-30 20:17:12.000,1644.0,1604.0
2021-03-30 20:17:12.300,1658.0,1605.0
2021-03-30 20:17:12.600,1676.0,1605.0
2021-03-30 20:17:12.900,1685.0,1605.0
2021-03-30 20:17:13.200,1689.0,1606.0
2021-03-30 20:17:13.500,1692.0,1605.0
2021-03-30 20:17:13.800,1695.0,1605.0
2021-03-30 20:17:14.100,1691.0,1606.0
2021-03-30 20:17:14.400,1669.0,1604.0
2021-03-30 20:17:14.700,1664.0,1604.0
2021-03-30 20:17:15.000,1680.0,1603.0
2021-03-30 20:17:15.300,1691.0,1601.0
2021-03-30 20:17:15.600,1700.0,1604.0
2021-03-30 20:17:15.900,1705.0,1603.0
2021-03-30 20:17:16.200,1709.0,1603.0
2021-03-30 20:17:16.500,1714.0,1602.0
2021-03-30 20:17:16.800,1717.0,1602.0
2021-03-30 20:17:17.100,1719.0,1602.0
2021-03-30 20:17:17.400,1719.0,1602.0
2021-03-30 20:17:17.700,1702.0,1600.0
2021-03-30 20:17:18.000,1685.0,1596.0
2021-03-30 20:17:18.300,1694.0,1595.0
2021-03-30 20:17:18.600,1707.0,1598.0
2021-03-30 20:17:18.900,1715.0,1599.0
2021-03-30 20:17:19.200,1720.0,1601.0
2021-03-30 20:17:19.500,1725.0,1601.0
2021-03-30 20:17:19.800,1727.0,1601.0
2021-03-30 20:17:20.100,1729.0,1600.0
2021-03-30 20:17:20.400,1729.0,1599.0
2021-03-30 20:17:20.700,1731.0,1596.0
2021-03-30 20:17:21.000,1735.0,1595.0
2021-03-30 20:17:21.300,1735.0,1595.0
2021-03-30 20:17:21.600,1727.0,1595.0
2021-03-30 20:17:21.900,1726.0,1597.0
2021-03-30 20:17:22.200,1728.0,1598.0
2021-03-30 20:17:22.500,1737.0,1599.0
2021-03-30 20:17:22.800,1744.0,1599.0
2021-03-30 20:17:23.100,1747.0,1599.0
2021-03-30 20:17:23.400,1749.0,1598.0
2021-03-30 20:17:23.700,1753.0,1597.0
2021-03-30 20:17:24.000,1745.0,1597.0
2021-03-30 20:17:24.300,1726.0,1592.0
2021-03-30 20:17:24.600,1707.0,1589.0
2021-03-30 20:17:24.900,1703.0,1589.0
2021-03-30 20:17:25.200,1713.0,1591.0
2021-03-30 20:17:25.500,1729.0,1593.0
2021-03-30 20:17:25.800,1740.0,1595.0
2021-03-30 20:17:26.100,1747.0,1596.0
2021-03-30 20:17:26.400,1751.0,1597.0
2021-03-30 20:17:26.700,1756.0,1597.0
2021-03-30 20:17:27.000,1759.0,1597.0
2021-03-30 20:17:27.300,1760.0,1599.0
2021-03-30 20:17:27.600,1759.0,1598.0
2021-03-30 20:17:27.900,1758.0,1599.0
2021-03-30 20:17:28.200,1748.0,1599.0
2021-03-30 20:17:28.500,1708.0,1598.0
2021-03-30 20:17:28.800,1651.0,1598.0
2021-03-30 20:17:29.100,1652.0,1598.0
2021-03-30 20:17:29.400,1671.0,1599.0
2021-03-30 20:17:29.700,1687.0,1599.0
2021-03-30 20:17:30.000,1701.0,1600.0
2021-03-30 20:17:30.300,1709.0,1601.0
2021-03-30 20:17:30.600,1717.0,1602.0
2021-03-30 20:17:30.900,1723.0,1602.0
2021-03-30 20:17:31.200,1725.0,1602.0
2021-03-30 20:17:31.500,1730.0,1603.0
2021-03-30 20:17:31.800,1731.0,1603.0
2021-03-30 20:17:32.100,1733.0,1602.0
2021-03-30 20:17:32.400,1735.0,1603.0
2021-03-30 20:17:32.700,1735.0,1602.0
2021-03-30 20:17:33.000,1719.0,1602.0
2021-03-30 20:17:33.300,1690.0,1600.0
2021-03-30 20:17:33.600,1696.0,1601.0
2021-03-30 20:17:33.900,1712.0,1600.0
2021-03-30 20:17:34.200,1722.0,1603.0
2021-03-30 20:17:34.500,1728.0,1603.0
2021-03-30 20:17:34.800,1734.0,1604.0
2021-03-30 20:17:35.100,1738.0,1604.0
2021-03-30 20:17:35.400,1744.0,1604.0
2021-03-30 20:17:35.700,1739.0,1603.0
2021-03-30 20:17:36.000,1715.0,1603.0
2021-03-30 20:17:36.300,1685.0,1602.0
2021-03-30 20:17:36.600,1698.0,1603.0
2021-03-30 20:17:36.900,1713.0,1603.0
2021-03-30 20:17:37.200,1725.0,1605.0
2021-03-30 20:17:37.500,1733.0,1605.0
2021-03-30 20:17:37.800,1737.0,1605.0
2021-03-30 20:17:38.100,1744.0,1606.0
2021-03-30 20:17:38.400,1744.0,1605.0
